area	prezzo
143.64	29584.4
287.68	77379.96
233.0	72141.57
199.66	55883.2
89.0	23343.19
89.0	26658.81
64.52	11084.57
266.54	58718.53
200.28	53938.5
227.02	54064.29
55.15	7054.11
292.48	68717.04
258.11	58874.74
103.08	26442.14
95.46	26775.61
95.85	28401.24
126.06	35986.66
181.19	49072.49
157.99	38461.67
122.81	27585.11
202.96	43199.23
84.87	26715.73
123.04	29871.34
141.59	33345.58
164.02	46903.58
246.29	57081.46
99.92	29153.98
178.56	46122.81
198.1	44335.85
61.61	15023.48
201.89	55337.32
92.63	27135.48
66.26	24042.17
287.22	73495.91
291.41	89713.98
252.1	58423.05
126.15	29544.31
74.42	18300.68
221.06	48171.25
160.04	45222.46
80.51	24645.16
173.79	43542.5
58.6	11977.92
277.33	61857.23
114.69	24726.21
